text,date,n_favs,n_rts
https://t.co/EY2Z4bnq83,2022-12-27 01:28:04+00:00,3,0
"Bueno igual no dio mucho la talla ese festival, mejor estuvo el Saca el Pecho Fest x10. Yo vi las historias de este y estuvo 😴",2022-12-19 14:46:31+00:00,4,0
no chamo quién ve un video en google drive XD,2022-12-17 00:54:27+00:00,3,0
amo tener extensiones de vscode no puedo medio ver una que me pueda ayudar con algo que la descargo,2022-12-16 23:55:46+00:00,0,1
@kekhaherbivore puede ser que no se dieron cuenta que la final del mundial caía el mismo día que una fecha,2022-12-16 23:17:41+00:00,2,0
fuera fino que pongan los circles como una feature de pago,2022-12-16 22:25:12+00:00,1,0
@valeen_te antes de las crisis be autobuses uno podía irse en un bus temprano de sartenejas al litoral y regresarse… https://t.co/GqaQLAU9t9,2022-12-16 16:54:20+00:00,1,0
@edul3on https://t.co/FLvheWaumg,2022-12-16 16:48:35+00:00,1,1
consejos pa q me acepten en el GSoC 😭,2022-12-16 03:48:49+00:00,1,0
@amanda_v18 yo le dejé creyendo que no iba a hacer frío y me arrepentí 😭,2022-12-16 02:34:28+00:00,1,0
i sleep,2022-12-15 18:51:32+00:00,1,0
"RT @swithscans: STAY IN CHICAGO PHOTOBOOK scans — full thread 

#STAYC #스테이씨 https://t.co/2NlQ3Q75qS",2022-12-13 04:03:06+00:00,0,301
https://t.co/UQexBDVsI5,2022-12-13 01:46:41+00:00,2,0
"serio serio serio, qué hay que hacer para que vuelvan a dar computación gráfica en la simón 😭 era mi principal interés en la carrera",2022-12-11 23:00:11+00:00,1,0
meten carrusel de hasta 10 fotos en twitter y muere instagram en este preciso instante,2022-12-11 22:54:05+00:00,2,0
como mucha gente https://t.co/25xVp4Ctsb,2022-12-11 22:15:56+00:00,2,0
https://t.co/FOz64sBD1I,2022-12-11 00:07:00+00:00,3,0
el chavista más útil: https://t.co/2bKTifS40G,2022-12-09 16:51:31+00:00,1,0
@annacab_ a mí nada que me sale notificación siquiera 🥲 solo puedo ver las playlists,2022-11-30 17:27:56+00:00,2,0
a quién le tengo que rezar para que me salga el maldito wrapped,2022-11-30 17:18:14+00:00,3,2
@vallha11a ed sheeran en el top 5,2022-11-30 16:31:26+00:00,1,0
Antes de 2021 es retro https://t.co/l6rBVuRLMi,2022-11-30 04:30:06+00:00,2,0
@MiniFreesia detayes,2022-11-29 18:35:27+00:00,1,0
"""detenido profesor de la usb por piratería de material académico en pdf""",2022-11-29 18:34:24+00:00,2,0
@gonthal quedaste en el suelo,2022-11-29 13:47:15+00:00,1,0
paralelismo cinematográfico https://t.co/y3D3k1vssi,2022-11-29 13:46:26+00:00,1,0
el ceic agradeciendo al ceic por limpiar la sala,2022-11-29 13:18:17+00:00,3,0
@MiniFreesia el trimestre que entré ponían todos los días en bamboo y los pabellones de cerca de casa de estudiantes 😭😭,2022-11-29 00:58:10+00:00,1,0
me sacaron de mi grupo de ws de amigos porque envié 120 fotos de lalisa 😔,2022-11-28 17:12:18+00:00,1,0
@gonthal https://t.co/etIiucDxab,2022-11-26 20:38:21+00:00,2,0
"dios mío cállense un rato con my twitter interaction circles nojoda, no me interesa",2022-11-26 13:46:31+00:00,2,0
"@_gusgustavo EL álbum, love it, fav de él",2022-11-26 13:28:16+00:00,1,0
@pupilalejana lo atropelló una avalancha,2022-11-26 02:16:50+00:00,1,0
pasó de pana https://t.co/TYMCUEXtdn,2022-11-26 00:53:11+00:00,1,0
@amanda_v18 más roto que pantalón,2022-11-26 00:21:27+00:00,1,0
son los colores del creeper https://t.co/H7wSOjf9bQ,2022-11-25 22:44:08+00:00,3,0
on parsers: https://t.co/A5Tv2CbxF7,2022-11-25 21:49:32+00:00,2,0
🥳 https://t.co/aGxfqU8CS5,2022-11-25 21:30:26+00:00,1,0
no chamo qué es esto https://t.co/H4AkPzDpfJ,2022-11-25 00:36:53+00:00,1,0
cuando sea coordinador de la compusala organizo karaoke de kanye west.,2022-11-25 00:29:10+00:00,1,0
"@amanda_v18 noo no están cobrando 🤣, es por este tuit https://t.co/DhyKVx4nE6",2022-11-24 19:55:05+00:00,1,0
@v_santaella jsasjsas es por esto https://t.co/aWWL1tNFAA,2022-11-24 11:59:12+00:00,1,0
@CAFUSB 🤙🏻🤙🏻🤙🏻🤙🏻,2022-11-23 14:58:00+00:00,2,0
q loco hicieron un concurso de peor centro de estudiantes y ganó el ceic,2022-11-22 22:19:56+00:00,1,0
la simón está desequilibrada: pesa más del lado del cromo/anfiteatro/audi que del lado de aulas/canchas. qué hacemo… https://t.co/UTmPQ4k7Lp,2022-11-22 21:20:07+00:00,4,0
@MiniFreesia dóndeee,2022-11-22 17:19:57+00:00,1,0
cazando arañas https://t.co/vaDlQubJ96,2022-11-22 16:57:15+00:00,4,0
le meteré un coñazo a Cafusb si vuelve a usar una foto mía,2022-11-22 04:55:36+00:00,2,0
qn me acompaña https://t.co/KmVKB41ZRv,2022-11-22 00:07:48+00:00,1,0
storytime cuando me monté en un bus de la wawa en la simón y todos creyeron que iba a robar por ser el único oscuro 😔,2022-11-21 23:24:10+00:00,2,0
"@MiniFreesia Zǎoshang hǎo zhōngguó
xiànzài wǒ yǒu BING CHILLING
wǒ hěn xǐhuān BING CHILLING
dànshì sùdù yǔ jīqíng 9
bǐ BING CHILLING",2022-11-21 03:48:11+00:00,2,1
cómo es que un proyecto de una de las carreras más numerosas de la simón no puede quedar de primero,2022-11-20 23:16:34+00:00,2,0
"@ericitodemar son cuadritos, puedes escoger ambas, aunque también faltaría Otro: _____ y Prefiero no decirlo",2022-11-20 22:33:11+00:00,2,0
"mundo de tontos, vagando en la superficialidad y mentiras.",2022-11-20 18:26:02+00:00,2,0
"Ustedes tienen un personaje que sea ""literalmente ustedes""? yo estaba viendo la carrera de Kanye West y me di cuent… https://t.co/0n29bzCwDy",2022-11-20 18:26:01+00:00,4,0
@guesebista y la diferencia también es que el que tiene plata puede afectar más al que no tiene que al revés,2022-11-19 21:42:37+00:00,1,0
letras de niña de 15 años que escribe fanfics en wattpad https://t.co/6srkBikxAp,2022-11-19 17:59:37+00:00,2,0
@guesebista a mí me botaron porque ganaba por default,2022-11-19 00:26:29+00:00,1,0
@angeluucho @Jpache_19 un llamado a que me desbloquees chamo ni sé quién eres q gafo,2022-11-19 00:03:40+00:00,4,0
@aadesufrimiento lo mejor,2022-11-18 23:09:05+00:00,1,0
"Hoy 18 de noviembre del 2021 juro que lo odió ahora más que nunca,jamás te olvidare por lo que me sucedió.
Me levan… https://t.co/UVbAjiaGbH",2022-11-18 15:35:21+00:00,1,1
twitter users https://t.co/qpnR3Dhkat,2022-11-18 14:58:30+00:00,2,0
"que cierren twitter sería mi mayor sueño hecho realidad, todos los días he manifestado que eso pase 🥺❤️ espero que se dé",2022-11-18 06:00:44+00:00,2,0
mamaguebo qué horrible es el twitter para diestros,2022-11-18 00:52:38+00:00,1,0
"@gonthal you mean

int
  main
    (
      int argc,
      char**argv
    )
      {
          /* código*/
      }",2022-11-18 00:51:48+00:00,2,0
le jugaron sucio a Valentina con ese rival https://t.co/Vjjwbsm4Rb,2022-11-18 00:30:21+00:00,1,0
@noymporta mi mamá no me deja acercarme a personas de piel oscura,2022-11-17 19:25:16+00:00,1,0
@valenbozaa el de la casa de papel,2022-11-16 16:13:42+00:00,1,0
@isademotunui yo diciendo q compu es la carrera más fácil de la simón,2022-11-16 02:29:27+00:00,2,0
vainas maquiavélicas: parciales donde cada pregunta depende de la anterior,2022-11-15 22:58:15+00:00,4,0
quién borró la gente. https://t.co/C89I3plk2h,2022-11-15 11:34:11+00:00,3,0
